set,frame,strategy,decode_path,width,height,megapixels,decode_ms,demosaic_ms,resize_ms,readback_ms,curve_ms,encode_ms,write_ms,total_ms,fps_single,in_bytes,out_bytes,ratio,peak_mb,whole_rel,block_rel,block_abs,green_ratio,blue_ratio,psnr_db,ssim,stops_rms,wb_warm_psnr,wb_cool_psnr,wb_tintp_psnr,wb_tintm_psnr,wb_warm_stops,wb_cool_stops,wb_balanced,apple_direct,apple_direct_whole,apple_direct_green,apple_direct_blue,repack_applies,imageio_type,imageio_decodes,quicklook,adobe,adobe_gap,thermal,error,notes
1,"_WEX4159.ARW","libraw_cfa_lj92_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,1447,0,0,0,0,31,4,1482,0.675,18116608,13005142,1.39,112,0.0795,0.1072,0.00897,1.0063,0.9984,47.26,0.9950,0.1022,,,,,,,,yes,0.0813,0.9996,0.9963,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.25% whole / 0.68% block of its decode of the input",0.0025,"nominal","","LibRaw open 1174 + unpack 181 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_cfa_jxl-lossless-e7_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,161,0,0,0,0,55,6,222,4.497,18116608,12377071,1.46,633,0.0795,0.1072,0.00897,1.0063,0.9984,47.26,0.9950,0.1022,,,,,,,,yes,0.0813,0.9996,0.9963,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.25% whole / 0.68% block of its decode of the input",0.0025,"nominal","","LibRaw open 0 + unpack 156 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_cfa_jxl-d0.5-e7-xyb_cubic0.10_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,162,0,0,0,34,324,1,521,1.920,18116608,915292,19.79,639,0.0523,0.1019,0.00866,0.9519,1.0415,61.45,0.9815,0.0914,,,,,,,,yes,0.0544,0.9459,1.0390,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 6.56% whole / 3.18% block of its decode of the input",0.0656,"nominal","","LibRaw open 0 + unpack 156 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_metal_linear_lj92_10mp_t512_be0.35","libraw-0.22.1-Release",3873,2582,10.00,161,52,0,0,30,90,12,345,2.895,18116608,31142610,0.58,1366,0.0734,0.1019,0.00568,0.9748,0.9312,38.83,0.9540,0.3697,,,,,,,,yes,0.0728,0.9650,0.9272,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.79% whole / 1.96% block of its decode of the input",0.0079,"nominal","","LibRaw open 0 + unpack 156 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | Metal upload 2 + metal 7 + resize 16 + readback 26 ms | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_metal_linear_jxl-d0.5-e7-xyb_lut2.2_10mp_t512_be0.35","libraw-0.22.1-Release",3873,2582,10.00,164,48,0,0,95,394,6,707,1.414,18116608,1249350,14.50,1118,0.0741,0.1017,0.00557,0.9776,0.9266,61.45,0.9841,0.1006,,,,,,,,yes,0.0753,0.9697,0.9247,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.71% whole / 1.97% block of its decode of the input",0.0071,"nominal","","LibRaw open 1 + unpack 158 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | Metal upload 2 + metal 7 + resize 10 + readback 28 ms | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_metal_linear_jxl-d0.5-e7-xyb_cubic0.10_10mp_t512_be0.35","libraw-0.22.1-Release",3873,2582,10.00,163,48,0,0,39,373,3,626,1.597,18116608,762077,23.77,1122,0.0761,0.1011,0.00579,0.9656,0.9300,59.53,0.9769,0.1162,,,,,,,,yes,0.0715,0.9603,0.9294,yes,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.78% whole / 1.93% block of its decode of the input",0.0078,"nominal","","LibRaw open 0 + unpack 157 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | Metal upload 3 + metal 7 + resize 10 + readback 28 ms | BaselineExposure 0.35 written (source had none)"
1,"_WEX4159.ARW","libraw_metal_linear_jpeg8-q0.90_cubic0.10_10mp_t512_be0.35","libraw-0.22.1-Release",3873,2582,10.00,164,51,0,0,36,7,3,260,3.843,18116608,1385174,13.08,1138,0.0618,0.0962,0.00499,0.9382,1.0143,52.89,0.9439,0.1809,,,,,,,,yes,0.0697,0.9303,1.0088,yes,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 6.34% whole / 2.92% block of its decode of the input",0.0634,"nominal","","LibRaw open 0 + unpack 158 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | Metal upload 3 + metal 8 + resize 12 + readback 27 ms | ImageIO JPEG sampling 2x2,1x1,1x1 | BaselineExposure 0.35 written (source had none)"
