set,frame,strategy,decode_path,width,height,megapixels,decode_ms,demosaic_ms,resize_ms,readback_ms,curve_ms,encode_ms,write_ms,total_ms,fps_single,in_bytes,out_bytes,ratio,peak_mb,whole_rel,block_rel,block_abs,green_ratio,blue_ratio,psnr_db,ssim,stops_rms,wb_warm_psnr,wb_cool_psnr,wb_tintp_psnr,wb_tintm_psnr,wb_warm_stops,wb_cool_stops,wb_balanced,apple_direct,apple_direct_whole,apple_direct_green,apple_direct_blue,repack_applies,imageio_type,imageio_decodes,quicklook,adobe,adobe_gap,thermal,error,notes
2,"frame-00100.dng","native_cfa_lj92_keep_t512","native-lj92",4032,3024,12.19,121,0,0,0,0,32,17,170,5.878,17317196,17102886,1.01,93,0.0000,0.0000,0.00000,1.0000,1.0000,99.00,1.0000,0.0000,,,,,,,,yes,0.0016,0.9989,0.9994,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.00% whole / 0.00% block of its decode of the input",0.0000,"nominal","","native parse 18 ms + 192 LJ92 tiles 15 ms"
2,"frame-00100.dng","native_cfa_jxl-lossless-e7_keep_t512","native-lj92",4032,3024,12.19,17,0,0,0,0,49,7,74,13.587,17317196,15591279,1.11,491,0.0000,0.0000,0.00000,1.0000,1.0000,99.00,1.0000,0.0000,,,,,,,,yes,0.0016,0.9989,0.9994,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.00% whole / 0.00% block of its decode of the input",0.0000,"nominal","","native parse 1 ms + 192 LJ92 tiles 15 ms"
2,"frame-00100.dng","native_cfa_jxl-d0.5-e7-xyb_cubic0.10_keep_t512","native-lj92",4032,3024,12.19,18,0,0,0,25,323,3,369,2.711,17317196,1293781,13.38,487,0.0170,0.0879,0.00598,0.9830,1.0096,41.99,0.9121,0.4520,,,,,,,,yes,0.0197,0.9803,1.0084,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 2.01% whole / 9.25% block of its decode of the input",0.0201,"nominal","","native parse 1 ms + 192 LJ92 tiles 16 ms"
2,"frame-00100.dng","native_metal_linear_lj92_8mp_t512","native-lj92",3266,2449,8.00,20,44,0,0,24,73,11,172,5.815,17317196,24641291,0.70,1065,0.0047,0.0479,0.00288,1.0047,1.0022,38.61,0.9875,0.2374,,,,,,,,yes,0.0039,0.9978,0.9961,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.10% whole / 1.96% block of its decode of the input",0.0010,"nominal","","native parse 1 ms + 192 LJ92 tiles 17 ms | Metal upload 2 + metal 7 + resize 12 + readback 23 ms"
2,"frame-00100.dng","native_metal_linear_jxl-d0.5-e7-xyb_lut2.2_8mp_t512","native-lj92",3266,2449,8.00,18,40,0,0,83,329,6,477,2.098,17317196,1246578,13.89,952,0.0065,0.0764,0.00386,1.0065,1.0031,49.46,0.9799,0.1661,,,,,,,,yes,0.0037,0.9992,0.9968,no,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.29% whole / 5.37% block of its decode of the input",0.0029,"nominal","","native parse 1 ms + 192 LJ92 tiles 16 ms | Metal upload 2 + metal 6 + resize 8 + readback 24 ms"
2,"frame-00100.dng","native_metal_linear_jxl-d0.5-e7-xyb_cubic0.10_8mp_t512","native-lj92",3266,2449,8.00,18,42,0,0,34,313,3,410,2.437,17317196,1078298,16.06,958,0.0056,0.0574,0.00269,1.0041,1.0019,50.52,0.9804,0.2070,,,,,,,,yes,0.0045,0.9970,0.9955,yes,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.22% whole / 3.09% block of its decode of the input",0.0022,"nominal","","native parse 1 ms + 192 LJ92 tiles 16 ms | Metal upload 2 + metal 7 + resize 8 + readback 24 ms"
2,"frame-00100.dng","native_metal_linear_jpeg8-q0.90_cubic0.10_8mp_t512","native-lj92",3266,2449,8.00,18,45,0,0,32,6,2,104,9.606,17317196,1483727,11.67,974,0.0174,0.1370,0.00898,0.9945,1.0128,43.79,0.9428,0.3568,,,,,,,,yes,0.0125,0.9875,1.0048,yes,"com.adobe.raw-image",yes,"thumbnail drawn","round trip OK, Adobe re-decodes it within 0.70% whole / 7.30% block of its decode of the input",0.0070,"nominal","","native parse 1 ms + 192 LJ92 tiles 16 ms | Metal upload 2 + metal 7 + resize 13 + readback 23 ms | ImageIO JPEG sampling 2x2,1x1,1x1"
